,file_name,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,duration,emotion
1066,./data/neutral/DE-wav/09b01Na.wav,50.373,3.074,0.071,-1.636,-0.529,-0.412,-0.271,-0.792,0.008,0.226,-0.043,0.249,0.451,2.466,neutral
1068,./data/neutral/DE-wav/11b01Nc.wav,52.423,3.758,1.019,-1.014,-0.695,-0.427,0.123,-0.144,-0.446,-0.313,-0.309,-0.328,-0.314,2.22,neutral
1070,./data/neutral/DE-wav/11b09Na.wav,53.409,3.311,0.921,-0.879,-1.312,-0.138,-0.369,-0.235,-0.535,-0.401,-0.424,-0.63,-0.425,2.419,neutral
1109,./data/neutral/DE-wav/03b03Nb.wav,51.478,2.561,-0.359,-0.819,-0.679,-0.135,-0.646,-0.187,-0.469,-0.331,-0.49,-0.351,-0.316,3.644,neutral
1129,./data/neutral/DE-wav/15a07Nc.wav,52.168,3.463,1.481,-0.614,-0.757,0.16,-0.17,-0.309,-0.343,-0.173,-0.417,-0.203,-0.429,1.881,neutral
1157,./data/neutral/DE-wav/08a01Na.wav,49.205,2.295,0.468,-0.627,-0.347,-0.226,-0.223,-0.087,0.197,0.538,0.309,0.349,0.263,1.764,neutral
1212,./data/neutral/DE-wav/10a04Nb.wav,51.3,2.877,0.888,0.263,-0.433,0.769,-0.067,-0.397,-0.178,-0.096,-0.481,-0.412,-0.105,2.05,neutral
1249,./data/neutral/DE-wav/15b10Nb.wav,53.502,4.111,1.911,-0.415,-0.435,-0.022,0.022,-0.122,-0.323,-0.057,-0.342,-0.292,-0.28,2.213,neutral
1252,./data/neutral/DE-wav/11b10Nc.wav,52.095,4.088,0.828,-0.595,-1.255,-0.371,-0.305,-0.241,-0.537,-0.472,-0.456,-0.638,-0.421,2.133,neutral
1259,./data/neutral/DE-wav/12a02Nb.wav,51.271,2.262,0.052,-0.957,-0.975,-0.174,-0.265,-0.592,-0.372,-0.328,-0.428,-0.357,-0.207,1.732,neutral
1274,./data/neutral/DE-wav/11a01Nd.wav,49.314,2.76,0.788,-0.008,-0.514,0.492,-0.494,-0.069,-0.311,-0.122,-0.499,-0.293,-0.362,1.636,neutral
1276,./data/neutral/DE-wav/13b03Na.wav,53.78,2.666,-0.197,-1.119,-1.34,-0.402,-0.678,-0.344,-0.347,0.277,0.245,0.719,0.72,3.567,neutral
1277,./data/neutral/DE-wav/11a02Nc.wav,47.459,3.175,0.659,0.108,-1.039,0.023,-0.148,-0.21,-0.166,-0.289,-0.316,-0.343,-0.276,1.534,neutral
5802,./data/sadness/DE-wav/03b03Tc.wav,46.555,3.176,0.445,0.129,-0.214,0.37,-0.254,0.109,-0.347,-0.075,-0.264,-0.23,-0.137,5.299,sadness
5804,./data/sadness/DE-wav/11b02Td.wav,49.698,3.375,1.047,0.244,-0.535,0.614,-0.493,0.025,-0.159,-0.299,-0.354,-0.333,-0.304,3.604,sadness
5807,./data/sadness/DE-wav/13a04Ta.wav,53.391,3.07,1.555,0.095,0.135,0.441,-0.083,0.058,-0.211,0.53,0.038,0.335,0.47,2.852,sadness
5810,./data/sadness/DE-wav/09a05Tb.wav,51.07,3.073,1.521,-0.1,0.411,0.153,0.227,0.026,0.335,0.367,-0.099,-0.061,0.075,3.909,sadness
5828,./data/sadness/DE-wav/03a02Ta.wav,49.895,2.909,0.825,-0.333,-0.283,0.298,-0.129,0.02,-0.187,-0.269,-0.425,-0.366,-0.104,1.736,sadness
5844,./data/sadness/DE-wav/08b10Tc.wav,48.055,3.669,1.807,0.185,-0.008,-0.19,0.271,-0.049,-0.004,0.309,-0.045,-0.027,-0.016,4.663,sadness
5871,./data/sadness/DE-wav/14b09Td.wav,50.843,2.64,1.251,-0.328,-0.185,0.481,-0.014,-0.222,-0.546,0.56,0.238,0.138,0.278,3.765,sadness
5906,./data/sadness/DE-wav/16b01Tb.wav,47.398,1.889,1.871,-0.819,-0.166,-0.418,-0.343,-0.246,-0.19,0.232,0.165,0.6,0.63,4.378,sadness
5907,./data/sadness/DE-wav/14a04Tb.wav,51.141,2.483,1.278,-0.012,-0.134,0.426,-0.289,-0.208,-0.558,0.498,0.131,0.081,0.26,2.226,sadness
5909,./data/sadness/DE-wav/16a05Tb.wav,48.498,2.08,1.653,-0.368,-0.064,-0.29,-0.472,-0.349,-0.227,0.204,0.03,0.566,0.43,6.144,sadness
5929,./data/sadness/DE-wav/03b09Tc.wav,49.359,3.692,0.912,-1.061,-0.345,0.252,0.065,-0.006,-0.415,-0.319,-0.431,-0.24,-0.014,3.947,sadness
5930,./data/sadness/DE-wav/11b03Td.wav,47.512,2.956,1.452,0.286,-0.275,0.523,-0.351,0.248,-0.236,-0.028,-0.289,-0.277,-0.253,5.905,sadness
5947,./data/sadness/DE-wav/08b02Tc.wav,46.64,2.916,1.537,0.924,0.725,0.568,0.345,0.195,0.328,0.414,0.074,0.074,0.125,6.144,sadness
5959,./data/sadness/DE-wav/14a07Tc.wav,48.729,2.973,1.524,-0.466,-0.047,0.307,0.172,-0.061,-0.363,0.561,-0.05,0.102,0.193,3.264,sadness
5963,./data/sadness/DE-wav/13b03Td.wav,52.341,3.143,1.594,0.229,-0.196,0.462,-0.171,0.041,-0.249,0.153,-0.175,0.139,0.235,4.976,sadness
5978,./data/sadness/DE-wav/11a05Td.wav,44.635,3.176,1.655,0.504,-0.005,0.647,-0.056,0.201,-0.056,-0.164,-0.262,-0.194,-0.154,5.673,sadness
5996,./data/sadness/DE-wav/16a01Tb.wav,47.996,1.153,1.621,-0.504,-0.172,-0.099,-0.638,0.041,0.003,0.406,0.249,0.7,0.496,2.608,sadness
6000,./data/sadness/DE-wav/08a04Tb.wav,47.843,3.278,1.534,0.409,0.302,0.007,-0.039,-0.063,0.068,0.4,-0.027,0.023,0.041,3.837,sadness
6036,./data/sadness/DE-wav/13a02Ta.wav,53.445,2.866,2.167,0.063,0.202,0.849,0.061,0.162,0.146,0.337,-0.115,0.294,0.256,1.864,sadness
6042,./data/sadness/DE-wav/16b10Td.wav,48.998,2.571,1.628,-0.619,-0.256,-0.608,-0.68,-0.72,-0.528,0.204,-0.07,0.262,0.391,3.934,sadness
6048,./data/sadness/DE-wav/09a07Ta.wav,53.741,2.883,1.906,-0.504,-0.258,-0.345,-0.158,-0.135,-0.047,0.398,0.018,0.109,0.439,1.994,sadness
6061,./data/sadness/DE-wav/11a07Ta.wav,50.837,3.728,2.209,0.608,-0.575,0.503,-0.561,0.002,-0.457,-0.383,-0.454,-0.436,-0.385,2.167,sadness
6073,./data/sadness/DE-wav/03b01Td.wav,47.781,2.837,1.108,-0.632,0.184,-0.012,0.23,0.207,-0.207,-0.057,-0.285,-0.042,0.038,3.391,sadness
6087,./data/sadness/DE-wav/14a05Tc.wav,49.147,2.937,1.371,-0.012,0.027,0.425,0.251,-0.002,-0.205,0.348,0.033,0.048,0.019,5.029,sadness
6106,./data/sadness/DE-wav/16a07Td.wav,48.523,1.618,1.892,-0.385,0.237,-0.196,-0.466,-0.116,-0.207,0.379,-0.005,0.486,0.363,3.73,sadness
6112,./data/sadness/DE-wav/12a05Ta.wav,49.771,3.115,0.258,-0.279,0.056,0.233,-0.242,0.141,-0.246,-0.113,-0.325,-0.1,-0.092,5.36,sadness
6118,./data/sadness/DE-wav/03b02Tb.wav,47.029,2.961,0.807,0.012,0.169,0.404,-0.12,0.121,-0.213,-0.176,-0.256,-0.132,-0.086,5.127,sadness
6120,./data/sadness/DE-wav/12b01Ta.wav,50.774,3.32,0.525,-0.473,0.688,0.327,0.077,0.228,-0.067,0.011,-0.193,0.06,-0.022,3.996,sadness
6129,./data/sadness/DE-wav/10a05Tb.wav,53.879,2.981,1.807,0.532,-0.664,0.604,0.37,0.1,-0.396,-0.204,-0.351,-0.202,-0.313,3.334,sadness
6135,./data/sadness/DE-wav/08a07Tb.wav,48.532,3.389,1.763,0.343,0.283,0.149,0.265,0.121,0.222,0.547,0.073,0.055,0.119,4.024,sadness
6157,./data/sadness/DE-wav/08b09Tb.wav,46.33,3.247,1.67,0.254,0.398,0.228,0.153,-0.114,0.047,0.412,0.024,0.078,0.095,6.144,sadness
6159,./data/sadness/DE-wav/03a04Ta.wav,52.032,2.959,0.564,-0.155,-0.096,0.382,-0.284,0.126,-0.358,-0.2,-0.408,-0.216,-0.123,2.064,sadness
6191,./data/sadness/DE-wav/08b03Tc.wav,48.23,3.502,1.489,0.468,0.123,0.076,0.144,0.025,0.229,0.413,-0.12,-0.09,-0.023,6.144,sadness
6203,./data/sadness/DE-wav/15b09Ta.wav,49.232,3.768,2.227,0.066,-0.56,0.248,-0.083,-0.17,-0.294,-0.11,-0.325,-0.266,-0.28,4.016,sadness
6212,./data/sadness/DE-wav/13a07Tc.wav,53.356,3.25,1.808,-0.226,-0.233,0.183,-0.071,-0.022,-0.067,0.266,-0.043,0.248,0.469,2.342,sadness
6221,./data/sadness/DE-wav/09b03Ta.wav,54.555,2.265,1.241,-0.308,-0.722,-0.417,-0.442,-0.232,-0.208,0.069,-0.32,-0.057,0.094,4.093,sadness
6245,./data/sadness/DE-wav/08a07Ta.wav,49.33,3.475,2.018,0.214,0.182,-0.034,0.037,-0.06,0.153,0.386,-0.064,0.062,0.113,3.463,sadness
6253,./data/sadness/DE-wav/14b10Tc.wav,49.798,3.795,1.313,-0.61,-0.34,0.147,0.03,-0.402,-0.673,0.259,-0.167,-0.139,-0.014,3.412,sadness
6289,./data/sadness/DE-wav/09b02Tb.wav,54.937,3.291,1.355,-0.457,-0.547,-0.412,-0.406,-0.525,-0.321,0.133,-0.21,0.054,0.189,3.655,sadness
6296,./data/sadness/DE-wav/16a04Tc.wav,51.156,1.217,1.528,-0.696,-0.599,-0.637,-0.665,-0.251,-0.113,0.322,0.29,0.83,0.669,3.166,sadness
6329,./data/sadness/DE-wav/15b02Tc.wav,52.394,3.699,1.736,0.393,-0.391,0.081,-0.157,-0.301,-0.382,-0.184,-0.375,-0.231,-0.31,3.892,sadness
6346,./data/sadness/DE-wav/10b03Tb.wav,52.8,3.441,1.823,1.117,-0.747,0.703,0.17,-0.036,-0.49,-0.095,-0.39,-0.276,-0.298,3.756,sadness
6349,./data/sadness/DE-wav/14b03Ta.wav,50.623,2.509,0.996,-0.05,-0.286,0.335,-0.263,-0.385,-0.372,0.549,-0.057,0.023,0.171,5.497,sadness
6376,./data/sadness/DE-wav/14a02Tb.wav,51.397,2.651,1.24,-0.43,-0.226,0.64,-0.011,-0.294,-0.298,0.122,-0.233,-0.104,-0.025,2.137,sadness
6380,./data/sadness/DE-wav/15b03Tc.wav,49.274,3.681,2.061,1.201,0.049,0.417,0.131,-0.013,-0.064,0.005,-0.306,-0.068,-0.172,5.341,sadness
6389,./data/sadness/DE-wav/14a05Ta.wav,50.692,3.206,0.952,-0.349,-0.276,0.276,0.128,-0.324,-0.433,0.251,-0.084,-0.011,-0.07,3.738,sadness
6398,./data/sadness/DE-wav/03a05Tc.wav,50.213,3.283,0.868,-0.451,-0.037,0.283,-0.17,0.116,-0.31,-0.182,-0.423,-0.314,-0.166,3.498,sadness
6400,./data/sadness/DE-wav/12b09Td.wav,50.009,3.646,0.489,-0.358,0.335,0.354,-0.237,0.051,-0.115,-0.101,-0.307,-0.185,0.0,5.414,sadness
6416,./data/sadness/DE-wav/10a07Ta.wav,52.268,3.43,2.019,0.21,-0.95,0.654,0.02,-0.08,-0.655,-0.138,-0.445,-0.349,-0.299,1.956,sadness
6417,./data/sadness/DE-wav/11a02Tc.wav,49.646,3.268,1.785,0.682,-0.499,0.462,-0.226,-0.039,-0.213,-0.41,-0.384,-0.448,-0.223,2.064,sadness
6454,./data/sadness/DE-wav/11b10Td.wav,49.643,3.498,2.07,0.58,-0.12,0.511,-0.164,0.176,-0.125,-0.206,-0.184,-0.274,-0.159,3.89,sadness
6468,./data/sadness/DE-wav/13a05Tc.wav,51.994,2.742,1.849,0.488,0.392,0.826,0.246,0.239,0.062,0.472,0.019,0.281,0.406,4.451,sadness
6479,./data/sadness/DE-wav/16b10Tb.wav,50.825,1.77,1.164,-1.188,-0.555,-0.779,-0.777,-0.401,-0.096,0.613,0.503,0.876,0.676,3.501,sadness
6488,./data/sadness/DE-wav/12b03Ta.wav,50.042,3.61,0.144,0.495,0.22,0.574,-0.433,0.041,-0.039,-0.091,-0.111,-0.108,-0.055,5.996,sadness
6520,./data/sadness/DE-wav/16b03Ta.wav,50.203,2.095,1.386,-0.658,-0.727,-0.607,-0.967,-0.587,-0.573,0.133,-0.098,0.315,0.315,5.976,sadness
6530,./data/sadness/DE-wav/14b02Tc.wav,48.112,2.861,1.664,0.517,0.17,0.462,0.267,0.029,-0.407,0.378,-0.052,-0.023,-0.021,6.144,sadness
6548,./data/sadness/DE-wav/14a04Tc.wav,47.269,3.193,1.665,0.59,0.304,0.498,0.057,-0.243,-0.551,0.281,0.155,0.09,0.21,2.935,sadness
6581,./data/sadness/DE-wav/08a02Tb.wav,49.743,3.491,1.634,0.535,0.274,0.205,0.261,-0.131,0.062,0.208,-0.02,-0.025,0.045,3.047,sadness
6606,./data/sadness/DE-wav/15a02Ta.wav,51.578,3.593,2.186,-0.198,-0.466,0.204,-0.177,-0.116,-0.3,0.028,-0.297,-0.286,-0.279,2.267,sadness
6613,./data/sadness/DE-wav/16a02Tc.wav,51.328,1.127,1.204,-1.106,-0.397,-0.615,-0.986,-0.577,-0.174,0.314,0.143,0.776,0.611,2.192,sadness
6637,./data/sadness/DE-wav/08a05Ta.wav,50.306,3.646,1.365,-0.091,0.07,0.039,0.121,-0.199,0.038,0.368,-0.209,-0.162,-0.118,5.622,sadness
6639,./data/sadness/DE-wav/11b09Td.wav,47.258,3.117,1.67,0.185,-0.071,0.653,-0.115,0.355,-0.132,-0.033,-0.251,-0.239,-0.217,4.899,sadness
14454,./data/anger/DE-wav/16b01Wa.wav,48.707,-0.26,-0.872,-2.346,-0.839,-0.753,-0.156,-0.369,0.322,0.596,0.535,0.415,0.277,2.61,anger
14455,./data/anger/DE-wav/12b01Wa.wav,46.993,0.224,-1.024,-1.876,-0.875,-0.664,-0.146,-0.37,-0.092,0.123,0.207,0.306,0.396,2.237,anger
14466,./data/anger/DE-wav/16a05Wb.wav,46.762,-1.938,-1.469,-2.111,-0.707,-0.284,0.327,0.579,0.578,0.581,0.155,0.068,-0.056,3.741,anger
14493,./data/anger/DE-wav/09b01Wb.wav,48.121,-0.771,-1.535,-2.576,-0.892,-0.684,0.011,0.329,1.174,0.743,0.085,-0.301,-0.301,2.158,anger
14515,./data/anger/DE-wav/03a07Wc.wav,48.771,-1.135,-1.414,-1.802,-1.521,-0.475,-0.357,-0.024,0.265,0.73,0.46,0.157,0.104,2.088,anger
14519,./data/anger/DE-wav/15b03Wb.wav,50.839,-0.967,-1.576,-1.079,-1.61,-0.702,-0.729,-0.419,-0.204,-0.048,0.158,0.355,0.339,3.022,anger
14525,./data/anger/DE-wav/12a07Wa.wav,52.221,0.728,-1.578,-1.88,-1.336,-0.526,-0.47,-0.607,-0.593,-0.099,-0.093,0.046,0.325,2.333,anger
14539,./data/anger/DE-wav/09a01Wb.wav,45.736,-2.398,-0.601,-1.737,-0.796,-0.287,-0.302,0.246,1.08,0.977,0.185,-0.112,-0.193,1.702,anger
14544,./data/anger/DE-wav/08b09Wa.wav,46.38,0.136,-1.091,-1.504,-0.724,-0.315,0.504,0.404,0.776,0.539,0.059,-0.062,-0.294,3.166,anger
14548,./data/anger/DE-wav/11a05Wd.wav,47.33,0.805,-0.613,-0.729,-0.709,-0.427,-0.256,-0.114,-0.33,-0.285,-0.235,-0.04,0.131,4.038,anger
